datetime_hour,insee_region,conso_elec_mw,conso_gaz_mw,datetime,temperature_2m,precipitation,relative_humidity_2m,dew_point_2m,apparent_temperature,pressure_msl,surface_pressure,rain,snowfall,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,global_tilted_irradiance,sunshine_duration,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,et0_fao_evapotranspiration,weather_code,snow_depth,vapour_pressure_deficit,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,date
2013-01-01 00:00:00,11,0.0,0.0,2013-01-01 00:00:00,8.2,0.6,84,5.7,3.5,1007.3,1002.9,0.6,0.0,100,99,89,99,0.0,0.0,0.0,0.0,0.0,0.0,25.0,41.7,205,207,48.6,0.02,53,0.0,0.17,8.2,0.384,2013-01-01
2013-01-01 00:00:00,24,0.0,0.0,2013-01-01 00:00:00,9.6,1.6,93,8.5,6.3,1003.7,1001.2,1.6,0.0,100,96,98,99,0.0,0.0,0.0,0.0,0.0,0.0,20.4,34.0,216,220,45.7,0.0,61,0.0,0.09,9.2,0.428,2013-01-01
2013-01-01 00:00:00,27,0.0,0.0,2013-01-01 00:00:00,8.8,1.0,88,7.0,4.1,1004.1,1002.2,1.0,0.0,100,97,100,100,0.0,0.0,0.0,0.0,0.0,0.0,27.1,44.5,210,213,53.6,0.01,55,0.0,0.13,8.5,0.421,2013-01-01
2013-01-01 00:00:00,28,0.0,0.0,2013-01-01 00:00:00,8.0,0.4,77,4.3,3.0,1008.6,994.6,0.4,0.0,100,97,85,100,0.0,0.0,0.0,0.0,0.0,0.0,24.6,40.9,207,209,46.4,0.03,51,0.0,0.24,8.0,0.391,2013-01-01
2013-01-01 00:00:00,32,0.0,0.0,2013-01-01 00:00:00,5.6,0.0,67,-0.0,0.5,1012.7,982.2,0.0,0.0,99,0,3,98,0.0,0.0,0.0,0.0,0.0,0.0,19.8,37.0,192,193,42.5,0.04,3,0.0,0.3,5.0,0.374,2013-01-01
2013-01-01 00:00:00,44,0.0,0.0,2013-01-01 00:00:00,4.7,0.0,64,-1.5,0.5,1012.6,995.1,0.0,0.0,87,0,1,86,0.0,0.0,0.0,0.0,0.0,0.0,12.6,29.6,193,198,26.3,0.03,3,0.0,0.3,4.3,0.46,2013-01-01
2013-01-01 00:00:00,52,0.0,0.0,2013-01-01 00:00:00,9.1,1.5,86,6.8,3.9,1002.1,998.8,1.5,0.0,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,30.2,48.9,211,213,59.8,0.02,61,0.0,0.16,8.2,0.428,2013-01-01
2013-01-01 00:00:00,53,0.0,0.0,2013-01-01 00:00:00,8.5,0.2,73,4.0,3.6,1007.9,996.5,0.2,0.0,100,82,95,100,0.0,0.0,0.0,0.0,0.0,0.0,24.0,39.6,206,208,46.4,0.04,51,0.0,0.3,8.0,0.38,2013-01-01
2013-01-01 00:00:00,75,0.0,0.0,2013-01-01 00:00:00,8.3,1.2,90,6.7,5.2,1013.4,1011.4,1.2,0.0,100,70,100,100,0.0,0.0,0.0,0.0,0.0,0.0,15.6,28.7,188,195,30.2,0.0,55,0.0,0.11,8.8,0.361,2013-01-01
2013-01-01 00:00:00,76,0.0,0.0,2013-01-01 00:00:00,6.6,0.0,92,5.4,4.3,1015.0,996.2,0.0,0.0,93,29,28,91,0.0,0.0,0.0,0.0,0.0,0.0,7.9,19.6,150,136,23.8,0.0,3,0.0,0.07,7.1,0.343,2013-01-01
